Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Beta","Alpha","Net Profit Margin","PB Ratio"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","69335.49723231999","255.2","18.34757799214607","0.623227472292001","-9.96278305170551","24.834556769864687","4.3670401985463245"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","68852","855.75","362.5697735650345",,"72.8037623028972","20.912254426922722","46.93547837349603"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","68019.73208414999","733.8","79.39830286819024","0.754999028723938","36.3884228080731","7.2553441776601995","4.352694565583117"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","67951.62351832","1364.85","46.13019573013639","0.650986367983214","4.61875708288383","11.61851908524589","9.13884710964068"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","66756.34055196","4687.9","443.8586472869642","0.862995352292781","42.2792947381072","1.4101410141014228","13.900620638006"
GAIL (India) Ltd,GAIL,"Gas Distribution","65451.278216499995","146.55","10.666157930447245","1.15909654359984","-13.3873439945271","10.191423748383189","1.2284438260501205"
Marico Ltd,MARICO,"FMCG - Personal Products","64724.118206939995","510.55","55.22535683186006","0.375255647625076","6.83772903020713","13.012101698678805","19.866211849889503"
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","64503.718730550005","885.15","168.15359418808526","0.820039637127698","6.89442475556814","4.675653933351246","15.891921143795113"
MindTree Ltd,MINDTREE,"IT Services & Consulting","64499.08807482","3965.85","58.08112388547504","0.959494560595972","41.1996940140317","13.676950551142307","14.933801360226898"
Info Edge (India) Ltd,NAUKRI,"Online Services","64279.599746850006","4844.9","45.68297449103817","0.970722168157206","25.08577579242","52.044103668031504","11.606419275813073"
Macrotech Developers Ltd,LODHA,"Real Estate","64153.500141070006","1309.05","1597.8455825920717",,,"0.6956416276108038","12.515680353711097"
One 97 Communications Ltd,PAYTM,"Business Support Services","61229.447092550006","953.3","-36.100139786893465",,,"-53.209311080436684","9.396495978108407"
Piramal Enterprises Ltd,PEL,"Diversified Financials","59392.174240470005","2465.45","44.577340799247864","1.37839274060965","-10.455822464678","9.787823000216","1.6902086527452724"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","59098.9160216","767.2","20.58478440320446","1.07207115784303","0.263709671129861","7.362671180181566","2.404349716094386"
Gland Pharma Ltd,GLAND,"Pharmaceuticals","58812.15969785","3513.95","58.99090213130781",,,"27.71162366649435","9.962691623218776"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","58252.1360691","5164.4","15.960232687303245","1.3109911499792","6.80688591183107","93.37803748599265","1.320382261447408"
